Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Vitamin A,292.623,50,88,H,Rootring Farms,C16,Injected
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,Animal_Id,
Vitamin A,101.369,50,88,H,River Creek,206L,Injected??
Ca,46.1,30,200,,River Creek,206L,Injected??
Co,0.052,0.02,0.2,,River Creek,206L,Injected??
Cr,0.019,0.04,3.8,L,River Creek,206L,Injected??
Cu,26,25,150,,River Creek,206L,Injected??
Fe,45,45,220,,River Creek,206L,Injected??
K,2329,1400,4000,,River Creek,206L,Injected??
Mg,158,100,250,,River Creek,206L,Injected??
Mn,1.515,1.5,5,,River Creek,206L,Injected??
Mo,0.828,0.2,1.4,,River Creek,206L,Injected??
Na,1058,900,3000,,River Creek,206L,Injected??
P,4094,2000,4000,H,River Creek,206L,Injected??
Se,0.31,0.2,0.7,,River Creek,206L,Injected??
Zn,77,25,125,,River Creek,206L,Injected??
,,,,,,,
Ca,122,30,200,,wickstrum farms,6006,LIVER
Co,0.028,0.01,0.063,,wickstrum farms,6006,LIVER
Cr,0.041,0.001,,,wickstrum farms,6006,LIVER
